Diphone	Spectrogram	Word	Word count	Position from the word's start	Position from the word's end	Sample duration	Utterance	Speaker's gender	Speech type
UH_R	UH_R_02.png	EARTH	3253	1	2	00.07	5652-39938-0048	F	read
UH_R	UH_R_03.png	EARLY	2115	1	3	00.08	5719-233361-0056	M	read
UH_R	UH_R_04.png	HER	69599	2	1	00.05	3699-47246-0007	M	read
UH_R	UH_R_05.png	WERE	41106	2	1	00.04	7012-75354-0023	F	read
UH_R	UH_R_06.png	OUR	19635	3	1	00.03	EllenGustafson_2010X@164.29:172.50	F	spontaneous
UH_R	UH_R_08.png	OVER	15554	4	1	00.03	3699-47246-0007	M	read
UH_R	UH_R_09.png	AFTER	14174	4	1	00.07	5720-48807-0011	F	read
UH_R	UH_R_10.png	FIRST	13504	2	3	00.07	IanDunbar_2007P@842.86:852.78	M	spontaneous
AH_N	AH_N_01.png	AND	408321	1	2	00.06	7794-295948-0004	F	read
AH_N	AH_N_04.png	ONE	47598	2	1	00.03	IanDunbar_2007P@842.86:852.78	M	spontaneous
AH_N	AH_N_05.png	DONE	5930	2	1	00.14	7121-88076-0042	M	read
AH_N	AH_N_06.png	WOMAN	5315	4	1	00.03	1769-143484-0020	M	read
AH_N	AH_N_07.png	_SIL_ AND	49974	2	2	00.07	5405-121045-0040	F	read
AH_N	AH_N_08.png	ONE OF	9139	2	3	00.03	2127-138047-0068	M	read
AH_N	AH_N_09.png	ONCE	7933	2	2	00.05	DavidCameron_2010@16.13:18.29	M	spontaneous
T_SIL	T_SIL_01.png	'T _SIL_	45	1	1	00.20	SoniaShah_2013G@860.73:871.95	F	spontaneous
T_SIL	T_SIL_02.png	WORT _SIL_	1	2	1	00.19	7342-73961-0004	F	read
T_SIL	T_SIL_04.png	THAT _SIL_	2670	3	1	00.07	VinayVenkatraman_2012S@470.01:476.82	M	spontaneous
T_SIL	T_SIL_05.png	OUT _SIL_	1146	3	1	00.16	6313-66129-0013	F	read
T_SIL	T_SIL_06.png	NIGHT _SIL_	805	4	1	00.25	7794-295948-0004	F	read
T_SIL	T_SIL_07.png	NOT _SIL_	792	3	1	00.09	DavidPizarro_2012X@673.38:677.47	M	spontaneous
T_SIL	T_SIL_08.png	BUT _SIL_	644	3	1	00.06	4017-231846-0051	M	read
T_SIL	T_SIL_09.png	HEART _SIL_	479	4	1	00.18	8725-294554-0017	M	read
T_SIL	T_SIL_10.png	MOMENT _SIL_	460	7	1	00.08	WilliamUry_2010X@1049.94:1060.33	M	spontaneous
Z_SIL	Z_SIL_01.png	'S _SIL_	97	1	1	00.23	DanBuettner_2009X@191.69:201.19	F	spontaneous
Z_SIL	Z_SIL_02.png	IS _SIL_	1151	2	1	00.19	3500-134409-0032	F	read
Z_SIL	Z_SIL_03.png	AS _SIL_	163	2	1	00.16	2774-131722-0022	M	read
Z_SIL	Z_SIL_04.png	WAS _SIL_	814	3	1	00.20	153-126651-0006	M	read
Z_SIL	Z_SIL_05.png	YEARS _SIL_	730	4	1	00.12	3483-115968-0017	M	read
Z_SIL	Z_SIL_06.png	THINGS _SIL_	653	4	1	00.14	RichardResnick_2011X@306.14:320.22	M	spontaneous
Z_SIL	Z_SIL_07.png	EYES _SIL_	650	3	1	00.22	3997-180297-0023	F	read
Z_SIL	Z_SIL_08.png	HANDS _SIL_	418	5	1	00.19	7730-304535-0026	F	read
Z_SIL	Z_SIL_09.png	THEMSELVES _SIL_	351	8	1	00.14	1769-143484-0020	M	read
Z_SIL	Z_SIL_10.png	TIMES _SIL_	280	5	1	00.15	SebastianWernicke_2011X@151.62:171.09	M	spontaneous
SIL_S	SIL_S_01.png	_SIL_ SO	8332	1	3	00.11	AmoryLovins_2012S@662.7:676.67	M	spontaneous
SIL_S	SIL_S_02.png	_SIL_ SAID	1410	1	3	00.11	377-129292-0030	M	read
SIL_S	SIL_S_03.png	_SIL_ SOME	857	1	3	00.17	6574-70753-0000	M	read
SIL_S	SIL_S_04.png	_SIL_ SEE	186	1	2	00.12	5152-29465-0067	M	read
SIL_S	SIL_S_05.png	_SIL_ SIRS	1	1	3	00.12	2709-158074-0038	F	read
SIL_S	SIL_S_06.png	_SIL_ SIR	215	1	3	00.11	6159-50456-0026	M	read
SIL_S	SIL_S_07.png	_SIL_ SINCE	369	1	4	00.10	4813-248641-0013	M	read
SIL_S	SIL_S_08.png	_SIL_ STILL	289	1	4	00.11	8587-295525-0015	M	read
SIL_S	SIL_S_09.png	_SIL_ SOON	136	1	3	00.13	6557-65546-0043	F	read
SIL_S	SIL_S_10.png	_SIL_ SAT	46	1	3	00.14	789-153215-0009	F	read
IY_SIL	IY_SIL_02.png	ME _SIL_	3207	2	1	00.10	3334-171008-0020	F	read
IY_SIL	IY_SIL_03.png	BE _SIL_	801	2	1	00.28	711-187466-0060	M	read
IY_SIL	IY_SIL_04.png	DAY _SIL_	1221	3	1	00.16	8587-295533-0036	M	read
IY_SIL	IY_SIL_05.png	I _SIL_	731	2	1	00.16	ShuklaBose_2009I@922.54:932.07	F	spontaneous
IY_SIL	IY_SIL_06.png	HE _SIL_	549	2	1	00.35	CarlSafina_2010X@523.55:524.77	M	spontaneous
IY_SIL	IY_SIL_07.png	COUNTRY _SIL_	535	6	1	00.14	7525-101265-0068	F	read
IY_SIL	IY_SIL_08.png	SEE _SIL_	482	2	1	00.31	AlisaMiller_2008@27.17:31.58	F	spontaneous
IY_SIL	IY_SIL_09.png	MONEY _SIL_	389	4	1	00.18	4331-57179-0032	F	read
IY_SIL	IY_SIL_10.png	BODY _SIL_	361	4	1	00.14	NeilTurok_2008@1323.45:1331.69	M	spontaneous
EH_IY	EH_IY_01.png	ABLE	3493	1	4	00.07	EricaFrenkel_2011X@53.94:66.29	F	spontaneous
EH_IY	EH_IY_02.png	EIGHT	2437	1	2	00.07	14-212-0023	F	read
EH_IY	EH_IY_03.png	AGE	2274	1	2	00.03	7708-293973-0086	F	read
EH_IY	EH_IY_04.png	THEY	61281	2	1	00.04	517-121740-0013	M	read
EH_IY	EH_IY_05.png	WAY	14397	2	1	00.03	1265-135635-0033	M	read
EH_IY	EH_IY_06.png	DAY	13281	2	1	00.10	DavidMacaulay_2002@958.65:967.32	M	spontaneous
EH_IY	EH_IY_07.png	MADE	14419	2	2	00.07	6563-285357-0008	M	read
EH_IY	EH_IY_08.png	GREAT	13836	3	2	00.03	1322-137588-0055	M	read
EH_IY	EH_IY_09.png	CAME	13094	2	2	00.16	JackAndraka_2013@229.86:240.19	F	spontaneous
EH_IY	EH_IY_10.png	SAY	12322	2	1	00.03	453-129308-0017	M	read
