THE    DH_IY
AND    AH_N N_D
OF    AH_V
TO    T_UW
A    EH_IY
IN    IH_N
HE    HH_IY
I    AA_IY
THAT    DH_AH AH_T
WAS    W_AO AO_Z
IT    IH_T
HIS    HH_IH IH_Z
WITH    W_IH IH_TH
AS    EH_Z
FOR    F_R R_UH UH_R
HAD    HH_AE AE_D
IS    IH_Z
YOU    Y_UW
HER    HH_UH UH_R
BUT    B_AH AH_T
NOT    N_AA AA_T
SHE    SH_IY
BE    B_IY
AT    AE_T
ON    AO_N
THEY    DH_EH EH_IY
HIM    IH_M
BY    B_AA AA_IY
THIS    DH_IH IH_S
HAVE    HH_AE AE_V
WHICH    W_IH IH_CH
ALL    AO_L
FROM    F_R R_AH AH_M
MY    M_AA AA_IY
WERE    W_UH UH_R
SO    S_AO AO_UH
ONE    W_AH AH_N
SAID    S_EH EH_D
ME    M_IY
WE    W_IY
OR    UH_R
THEIR    DH_EH EH_R
THERE    DH_EH EH_R
WHEN    W_IH IH_N
NO    N_AO AO_UH
ARE    UH_R
THEM    DH_EH EH_M
AN    AH_N
IF    IH_F
WOULD    W_UH UH_D
WHO    HH_UW
WHAT    W_AH AH_T
BEEN    B_IH IH_N
WILL    W_IH IH_L
OUT    AA_UH UH_T
THEN    DH_EH EH_N
UP    AH_P
COULD    K_UH UH_D
INTO    IH_N N_T T_UW
MORE    M_AO AO_R
DO    D_UW
MAN    M_AE AE_N
SOME    S_AH AH_M
NOW    N_AA AA_UH
VERY    V_EH EH_R R_IY
LITTLE    L_IH IH_T T_AH AH_L
TIME    T_AA AA_IY IY_M
YOUR    Y_UH UH_R
ABOUT    AH_B B_AA AA_UH UH_T
UPON    AH_P P_AA AA_N
LIKE    L_AA AA_IY IY_K
THAN    DH_AH AH_N
DID    D_IH IH_D
ANY    EH_N N_IY
HAS    HH_AH AH_Z
ONLY    AO_UH UH_N N_L L_IY
TWO    T_UW
ITS    IH_T T_S
WELL    W_EH EH_L
OTHER    AH_DH DH_UH UH_R
OUR    AA_UH UH_R
OVER    AO_UH UH_V V_UH UH_R
BEFORE    B_IY IY_F F_AO AO_R
AFTER    AE_F F_T T_UH UH_R
MADE    M_EH EH_IY IY_D
DOWN    D_AA AA_UH UH_N
GOOD    G_UH UH_D
